id,sid,name,lastupdate,totalshare,top10total,floatshare,top10float,list,weight,firstlevel,secondlevel,note,ext1,ext2,location,valid
930,sz002463,沪电股份,"2015-02-19 00:00:00",167390,64,167259,64,"750,1500,3000",1.5,电子,半导体及元件,NULL,NULL,NULL,江苏省,1
957,sz002490,山东墨龙,"2015-02-19 00:00:00",137724,15,222926,44,"750,1500,3000",1.5,机械设备,专用设备,NULL,NULL,NULL,山东省,1
960,sz002493,荣盛石化,"2015-02-19 00:00:00",111194,90,101902,90,"750,1500,3000",1.5,化工,化工合成材料,NULL,NULL,NULL,浙江省,1
965,sz002498,汉缆股份,"2015-02-19 00:00:00",107320,89,105742,89,"750,1500,3000",1.5,机械设备,电气设备,NULL,NULL,NULL,山东省,1
967,sz002500,山西证券,"2015-02-19 00:00:00",251905,72,239956,71,"750,1500,3000",1.5,金融服务,证券,NULL,NULL,NULL,山西省,1
972,sz002505,大康牧业,"2015-02-19 00:00:00",131242,21,25249,79,"750,1500,3000",1.5,农林牧渔,养殖业,NULL,NULL,NULL,湖南省,1
1035,sz002570,贝因美,"2015-02-19 00:00:00",102218,53,101930,53,"750,1500,3000",1.5,食品饮料,食品加工制造,NULL,NULL,NULL,浙江省,1
1059,sz002594,比亚迪,"2015-02-19 00:00:00",436868,23,561321,48,"750,1500,3000",1.5,交运设备,汽车整车,NULL,NULL,NULL,广东省,1
1118,sz002653,海思科,"2015-02-19 00:00:00",108017,32,17870,88,"750,1500,3000",1.5,医药生物,化学制药,NULL,NULL,NULL,西藏自治区,1
1138,sz002673,西部证券,"2015-02-19 00:00:00",120007,62,68791,77,"750,1500,3000",1.5,金融服务,证券,NULL,NULL,NULL,陕西省,1
1209,sz300002,神州泰岳,"2015-02-19 00:00:00",132354,37,72378,57,"750,1500,3000",1.5,信息服务,计算机应用,NULL,NULL,NULL,北京市,1
1234,sz300027,华谊兄弟,"2015-02-19 00:00:00",123744,24,86691,45,"750,1500,3000",1.5,信息服务,传媒,NULL,NULL,NULL,浙江省,1
1266,sz300059,东方财富,"2015-02-19 00:00:00",120944,28,91531,44,"750,1500,3000",1.5,信息服务,传媒,NULL,NULL,NULL,上海市,1
1276,sz300070,碧水源,"2015-02-19 00:00:00",107119,34,64761,60,"750,1500,3000",1.5,公用事业,环保工程,NULL,NULL,NULL,北京市,1
1317,sz300111,向日葵,"2015-02-19 00:00:00",111959,28,110785,29,"750,1500,3000",1.5,机械设备,电气设备,NULL,NULL,NULL,浙江省,1
1457,sz300251,光线传媒,"2015-02-19 00:00:00",101272,122,53121,71,"750,1500,3000",1.5,信息服务,传媒,NULL,NULL,NULL,北京市,1
1521,sz300315,掌趣科技,"2015-02-19 00:00:00",129767,33,54486,55,"750,1500,3000",1.5,信息服务,传媒,NULL,NULL,NULL,北京市,1
1630,sh600004,白云机场,"2015-02-19 00:00:00",114991,67,114991,67,"750,1500,3000",1.5,交通运输,机场航运,NULL,NULL,NULL,广东省,1
1632,sh600006,东风汽车,"2015-02-19 00:00:00",199995,65,200026,65,"750,1500,3000",1.5,交运设备,汽车整车,NULL,NULL,NULL,湖北省,1
1633,sh600007,中国国贸,"2015-02-19 00:00:00",100718,87,100718,87,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,北京市,1
